"Scenario","Budget","CarbonWeight","BudgetUsage","CarbonProp","AllspProp","AmphibianProp","ReptileProp","BirdProp","MammalProp","ExAmphibian","ExReptile","ExBird","ExMammal","ExSp"
"Country",0.315,0.2,0.999999842203762,0.280498287920514,0.746049222797928,0.760282614181176,0.720996912218791,0.747831743278404,0.767052767052767,0.77319587628866,0.653148345784418,0.706915477497256,0.74931129476584,0.727096461463888
"Country",0.315,0.4,0.999999842203762,0.296632725597398,0.734779792746114,0.75372192783245,0.705337450374945,0.738508239375542,0.752466752466752,0.770618556701031,0.644610458911419,0.701427003293084,0.735537190082645,0.720552593310713
"Country",0.315,0.6,0.999999842203762,0.30775496491488,0.72279792746114,0.744637900580368,0.691662990736656,0.725498699045967,0.740883740883741,0.76610824742268,0.637139807897545,0.692645444566411,0.731404958677686,0.714493456131847
"Country",0.315,0.8,0.999999842203762,0.315757866984875,0.711787564766839,0.736563209689629,0.678209086898985,0.715307892454467,0.728013728013728,0.762886597938144,0.633938100320171,0.678375411635565,0.720385674931129,0.707464857004363
"Country",0.315,0,0.999999842203762,0.149017476577,0.750064766839378,0.761544284632854,0.72651080723423,0.752601908065915,0.771342771342771,0.771907216494845,0.654215581643543,0.710208562019758,0.74931129476584,0.727581192438197
"Country",0.315,1,0.999999842203762,0.322828284378524,0.7,0.727226848347212,0.664314071460079,0.703816131830009,0.715572715572716,0.756443298969072,0.618996798292423,0.667398463227223,0.714876033057851,0.698254968492487
"Country",0.525,0.2,0.991267548887829,0.705850904960726,0.946761658031088,0.953318193287913,0.933612704014116,0.941890719861232,0.970827970827971,0.949742268041237,0.895410885805763,0.934138309549945,0.966942148760331,0.936984973339796
"Country",0.525,0.4,0.986525357860186,0.716972065421029,0.938082901554404,0.947009841029523,0.924790471989413,0.931699913269731,0.961389961389961,0.945876288659794,0.887940234791889,0.923161361141603,0.960055096418733,0.930198739699467
"Country",0.525,0.6,0.986685031351346,0.723914214410842,0.928562176165803,0.941963159222811,0.917512130569034,0.918907198612316,0.946374946374946,0.945231958762887,0.87940234791889,0.913282107574094,0.949035812672176,0.923897237033446
"Country",0.525,0.8,0.986589562236002,0.729131423784685,0.920012953367876,0.934897804693414,0.911777679752978,0.907849089332177,0.934791934791935,0.941365979381443,0.874066168623266,0.908891328210757,0.935261707988981,0.917838099854581
"Country",0.525,0,0.93814875643033,0.382651055881822,0.953173575129534,0.958617209184961,0.94044993383326,0.949045967042498,0.976833976833977,0.949742268041237,0.897545357524013,0.942919868276619,0.971074380165289,0.940135724672807
"Country",0.525,1,0.986731370161717,0.733420166977286,0.911139896373057,0.929851122886702,0.90163211292457,0.897224631396357,0.925353925353925,0.938788659793814,0.865528281750267,0.895718990120746,0.929752066115702,0.911051866214251
"Global",0.315,0.2,0.999999842203762,0.401080089475372,0.977849740932643,0.990158970476911,0.973092192324658,0.977666955767563,0.966537966537967,0.998711340206186,0.985058697972252,0.985729967069155,0.983471074380165,0.99006301502666
"Global",0.315,0.4,0.999999842203762,0.434453912745892,0.952525906735751,0.976028261418118,0.938023820026467,0.95338248048569,0.939081939081939,0.992268041237113,0.963713980789755,0.961580680570801,0.961432506887052,0.973582161900145
"Global",0.315,0.6,0.999999842203762,0.453415202016087,0.930375647668394,0.962906888720666,0.910013233348037,0.93213356461405,0.911196911196911,0.984536082474227,0.954108858057631,0.946212952799122,0.946280991735537,0.962433349491032
"Global",0.315,0.8,0.999999842203762,0.466197793414785,0.911852331606218,0.950290184203886,0.885310983678871,0.913703382480486,0.894465894465894,0.977448453608247,0.933831376734258,0.933040614709111,0.939393939393939,0.951042171594765
"Global",0.315,0,0.999999842203762,0.194051705847168,0.999158031088083,0.999747665909664,0.999558888398765,0.998048568950564,0.999570999571,1,1,1,1,1
"Global",0.315,1,0.999999842203762,0.475022167063341,0.895919689119171,0.936664143325763,0.868107631230701,0.898525585429315,0.875589875589876,0.969716494845361,0.922091782283885,0.91218441273326,0.924242424242424,0.93819680077557
"Global",0.525,0.2,0.999999902297689,0.895038529647847,0.9985103626943,0.999747665909664,0.99911777679753,0.997181266261925,0.997854997854998,1,1,0.998902305159166,1,0.999757634512845
"Global",0.525,0.4,0.999999902297689,0.89760685250182,0.996826424870466,0.999242997728993,0.996471107190119,0.995880312228968,0.995280995280995,1,0.995731056563501,0.998902305159166,0.997245179063361,0.998303441589918
"Global",0.525,0.6,0.999999902297689,0.899841963338882,0.994041450777202,0.998233661367651,0.992059991177768,0.99457935819601,0.98970398970399,0.999355670103093,0.995731056563501,0.997804610318331,0.994490358126722,0.997333979641299
"Global",0.525,0.8,0.999999902297689,0.901302918138986,0.991386010362694,0.996719656825637,0.988972209969122,0.991543798785776,0.986700986700987,0.999355670103093,0.994663820704376,0.994511525795829,0.994490358126722,0.996364517692681
"Global",0.525,0,0.948679390661951,0.488383841183624,1,1,1,1,1,1,1,1,1,1
"Global",0.525,1,0.999999902297689,0.902405191984518,0.988536269430052,0.994953318193288,0.984561093956771,0.9898091934085,0.982839982839983,0.998711340206186,0.990394877267876,0.994511525795829,0.994490358126722,0.995152690256907
